Dataset,N,m,RMSE,Type
concrete,100,0.5,0.5872209072113037,cmll
concrete,100,0.5,0.6085186004638672,cmll
concrete,100,0.5,0.5833271145820618,cmll
concrete,100,0.5,0.5618183016777039,cmll
concrete,100,0.5,0.586635410785675,cmll
concrete,100,0.5,0.6236985921859741,cmll
concrete,100,0.5,0.595281720161438,cmll
concrete,100,0.5,0.7675220370292664,cmll
concrete,100,0.5,0.7031420469284058,cmll
concrete,600,0.0,0.39636826515197754,mll
concrete,600,0.0,0.4069885313510895,mll
concrete,600,0.0,0.4560755789279938,mll
concrete,600,0.0,0.3948899507522583,mll
concrete,600,0.0,0.40139609575271606,mll
concrete,600,0.0,0.3652539551258087,mll
concrete,600,0.0,0.35226699709892273,mll
concrete,600,0.0,0.44154271483421326,mll
concrete,600,0.0,0.3816903233528137,mll
concrete,600,0.0,0.3641022741794586,mll
winered,200,0.0,1.1179450750350952,mll
winered,200,0.0,1.6385174989700317,mll
winered,200,0.0,0.9791409969329834,mll
winered,200,0.0,1.7278498411178589,mll
winered,200,0.0,1.9075731039047241,mll
winered,200,0.0,1.1240566968917847,mll
winered,200,0.0,1.8952654600143433,mll
winered,200,0.0,1.1296629905700684,mll
winered,200,0.0,0.9496493339538574,mll
winered,200,0.0,1.8739418983459473,mll
power,600,0.1,0.2617397606372833,cmll
power,600,0.1,0.2663683295249939,cmll
power,600,0.1,0.2607239782810211,cmll
power,600,0.1,0.26154017448425293,cmll
power,600,0.1,0.2631933391094208,cmll
power,600,0.1,0.2669278383255005,cmll
power,600,0.1,0.2648980915546417,cmll
power,600,0.1,0.26786157488822937,cmll
power,600,0.1,0.2638663053512573,cmll
power,600,0.1,0.2689592242240906,cmll
energy,200,0.0,0.19503960013389587,mll
energy,200,0.0,0.2512785792350769,mll
energy,200,0.0,0.20445705950260162,mll
energy,200,0.0,0.18295633792877197,mll
energy,200,0.0,0.18415358662605286,mll
energy,200,0.0,0.19857096672058105,mll
energy,200,0.0,0.21412602066993713,mll
energy,200,0.0,0.19707800447940826,mll
energy,200,0.0,0.2510618567466736,mll
energy,200,0.0,0.19708499312400818,mll
winered,400,0.9,0.7901155352592468,cmll
winered,400,0.9,0.7534050941467285,cmll
winered,400,0.9,0.7563834190368652,cmll
winered,400,0.9,0.7245416641235352,cmll
winered,400,0.9,0.7767613530158997,cmll
winered,400,0.9,0.7424699068069458,cmll
winered,400,0.9,0.7057718634605408,cmll
